id;multiple_response;text;memo;group_position
1;false;437573746f6d65722048756d616e206465706f736974;even-keeled Saint Helena Pound;84666
2;true;4149206f70746963616c20696e766f696365;Marketing;78534
3;true;486f6d65204c6f616e204163636f756e7420546f6f6c7320556e6272616e646564;Supervisor clear-thinking;30536
4;true;4361796d616e2049736c616e647320446f6c6c617220696e766f696365;Fish;1807
5;false;63697263756974206e61766967617465;program alarm;30806
6;true;536c65656b207475726e2d6b6579;Ergonomic;58987
7;true;7461726765742048756d616e207769746864726177616c;dot-com payment Libyan Dinar;86416
8;false;73656e736f72;Alaska;76855
9;true;4368697073;Villages uniform PCI;74771
10;false;54616374696373206172636869746563747572657320506c616e6e6572;Facilitator Incredible functionalities;19091
