id;text;answer;memo;group_position
1;696e666f6d656469617269657320536f6d205275737469632046726f7a656e204b6579626f617264;456e74657270726973652d776964652042656e696e;Tuna Response invoice;51669
2;7061796d656e7420652d6d61726b6574732073797374656d;4f7267616e6963;Cheese Steel;34187
3;536d616c6c;496e6372656469626c65204672657368204368697073;Shoes Music connect;80691
4;652d627573696e657373204c69676874;696e7465677261746520506572736f6e616c204c6f616e204163636f756e74;HTTP explicit;1530
5;4f7074696d697a6174696f6e2043616d6272696467657368697265;7061796d656e7420536f6170;Web;94425
6;434f4d;44617461204e6f7274682044616b6f7461;North Carolina Granite;81120
7;70617273696e6720496e766573746d656e74204163636f756e74;4272616e64696e672044796e616d696320626c61636b;yellow;37725
8;4572676f6e6f6d69632052756262657220436869636b656e;48616e646372616674656420506c6173746963205368697274207175616e74696679696e67;wireless;26069
9;41766f6e;52757069616820506572736f6e616c204c6f616e204163636f756e742048545450;schemas Specialist China;42347
10;536f7574682044616b6f74612057796f6d696e6720696e74657266616365;696e63656e746976697a65;Louisiana JSON Texas;23859
