id;text;memo
1;446f627261206170706c69636174696f6e;Fantastic
2;4c6965636874656e737465696e204275636b696e6768616d7368697265206d6f6e6574697a65;Direct
3;536d616c6c2046726f7a656e2053616c616420627970617373696e67;time-frame Quality
4;426f726465727320426f72646572732050726163746963616c;methodical
5;50616b697374616e;parse
6;6e657572616c20576f6f64656e204f7074696d697a6174696f6e;Tasty Rubber Car mindshare EXE
7;62616e647769647468204c696169736f6e;program Auto Loan Account Refined
8;696e666f6d6564696172696573;Fantastic Fresh Salad
9;537465656c2041766f6e20566973696f6e617279;exploit transition
10;557365722d63656e74726963205072696e636970616c2050656e6e73796c76616e6961;repurpose Sleek
